LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
16;bent;bEnt;b-b.e-E.n-n.t-t;4;4;1;word_bent;1;CVCC;0
16;best;bEst;b-b.e-E.s-s.t-t;4;4;1;word_best;1;CVCC;0
16;Bob;bob;b-b.o-o.b-b;3;3;1;word_Bob;0;CVC;1
16;bad;bad;b-b.a-a.d-d;3;3;1;word_bad;1;CVC;0
16;rabbit;rab.It;r-r.a-a.b-b.b-b.i-I.t-t;6;6;2;word_rabbit;1;CVC.VC;0
17;ash;aS;a-a.sh-S;2;3;1;word_ash;1;VC;0
17;bash;baS;b-b.a-a.sh-S;3;4;1;word_bash;1;CVC;0
17;dish;dIS;d-d.i-I.sh-S;3;4;1;word_dish;1;CVC;0
17;fish;fIS;f-f.i-I.sh-S;3;4;1;word_fish;1;CVC;0
17;mash;maS;m-m.a-a.sh-S;3;4;1;word_mash;1;CVC;0
17;mush;mVS;m-m.u-V.sh-S;3;4;1;word_mush;1;CVC;0
17;rush;rVS;r-r.u-V.sh-S;3;4;1;word_rush;1;CVC;0
17;ship;Sip;sh-S.i-I.p-p;3;4;1;word_ship;1;CVC;0
17;shop;Sop;sh-S.o-o.p-p;3;4;1;word_shop;1;CVC;0
17;flesh;flES;f-f.l-l.e-E.sh-S;4;5;1;word_flesh;1;CCVC;0
17;fresh;frES;f-f.r-r.e-E.sh-S;4;5;1;word_fresh;1;CCVC;0
17;shell;Sel;sh-S.e-E.l-l.l-l;4;5;1;word_shell;1;CVC;0
17;smash;smaS;s-s.m-m.a-a.sh-S;4;5;1;word_smash;1;CCVC;0
17;shrimp;SrImp;sh-S.r-r.i-I.m-m.p-p;5;6;1;word_shrimp;1;CCVCC;0
18;act;akt;a-a.c-k.t-t;3;3;1;word_act;-;VCC;0
18;cab;kab;c-k.a-a.b-b;3;3;1;word_cab;1;CVC;0
18;can;kan;c-k.a-a.n-n;3;3;1;word_can;1;CVC;0
18;cap;kap;c-k.a-a.p-p;3;3;1;word_cap;-;CVC;0
18;cat;kat;c-k.a-a.t-t;3;3;1;word_cat;1;CVC;0
18;cop;kop;c-k.o-o.p-p;3;3;1;word_cop;1;CVC;0
18;cot;kot;c-k.o-o.t-t;3;3;1;word_cot;1;CVC;0
18;cub;kVb;c-k.u-V.b-b;3;3;1;word_cub;1;CVC;0
18;cup;kVp;c-k.u-V.p-p;3;3;1;word_cup;1;CVC;0
18;cut;kVt;c-k.u-V.t-t;3;3;1;word_cut;1;CVC;0
18;camp;kamp;c-k.a-a.m-m.p-p;4;4;1;word_camp;1;CVCC;0
18;cash;kaS;c-k.a-a.sh-S;3;4;1;word_cash;1;CVC;0
18;cast;kast;c-k.a-a.s-s.t-t;4;4;1;word_cast;1;CVCC;0
18;clap;klap;c-k.l-l.a-a.p-p;4;4;1;word_clap;1;CCVC;0
18;clip;klIp;c-k.l-l.i-I.p-p;4;4;1;word_clip;1;CCVC;0
18;cost;kost;c-k.o-o.s-s.t-t;4;4;1;word_cost;1;CVCC;0
18;cannot;kan.ot;c-k.a-a.n-n.n-n.o-o.t-t;6;6;2;word_cannot;1;CVC.VC;0
18;scram;skram;s-s.c-k.r-r.a-a.m-m;5;5;1;word_scram;1;CCCVC;0
18;scrap;skrap;s-s.c-k.r-r.a-a.p-p;5;5;1;word_scrap;-;CCCVC;0
18;traffic;traf.Ik;t-t.r-r.a-a.f-f.f-f.i-I.c-k;7;7;2;word_traffic;1;CCVC.VC;0
19;back;bak;b-b.a-a.ck-k;3;4;1;word_back;1;CVC;0
19;dock;dok;d-d.o-o.ck-k;3;4;1;word_dock;-;CVC;0
19;duck;dVk;d-d.u-V.ck-k;3;4;1;word_duck;1;CVC;0
19;kick;kIk;k-k.i-I.ck-k;3;4;1;word_kick;1;CVC;0
19;lick;lIk;l-l.i-I.ck-k;3;4;1;word_lick;-;CVC;0
19;lock;lok;l-l.o-o.ck-k;3;4;1;word_lock;1;CVC;0
19;neck;nEk;n-n.e-E.ck-k;3;4;1;word_neck;1;CVC;0
19;pack;pak;p-p.a-a.ck-k;3;4;1;word_pack;-;CVC;0
19;pick;pIk;p-p.i-I.ck-k;3;4;1;word_pick;1;CVC;0
19;rock;rok;r-r.o-o.ck-k;3;4;1;word_rock;1;CVC;0
19;sack;sak;s-s.a-a.ck-k;3;4;1;word_sack;-;CVC;0
19;sick;sIk;s-s.i-I.ck-k;3;4;1;word_sick;1;CVC;0
19;sock;sok;s-s.o-o.ck-k;3;4;1;word_sock;1;CVC;0
19;suck;sVk;s-s.u-V.ck-k;3;4;1;word_suck;1;CVC;0
19;tick;tIk;t-t.i-I.ck-k;3;4;1;word_tick;1;CVC;0
19;shack;Sak;sh-S.a-a.ck-k;3;5;1;word_shack;1;CVC;0
19;clock;klok;c-k.l-l.o-o.ck-k;4;5;1;word_clock;1;CCVC;0
19;Rick;rik;r-r.i-I.ck-k;3;4;1;word_Rick;0;CVC;1
