LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
1;a;a.;a-a.;1;1;1;phoneme_a;1;V.;0
2;i;i.;i-i.;1;1;1;phoneme_i;1;V.;0
3;au;a.u.;a-a.u-u.;2;2;2;word_au;1;V.V.;0
3;u;u.;u-u.;1;1;1;phoneme_u;1;V.;0
3;ua;u.a.;u-u.a-a.;2;2;2;word_ua;1;V.V.;0
4;e;e.;e-e.;1;1;1;phoneme_e;1;V.;0
5;o;o.;o-o.;1;1;1;phoneme_o;1;V.;0
6;ana;;a-a.n-n.a-a.;3;3;1;;0;;0
6;nia;;n-n.i-i.a-a.;3;3;1;;0;;0
6;Nana;;n-n.a-a.n-n.a-a.;4;4;1;;0;;1
6;naona;;n-n.a-a.o-o.n-n.a-a.;5;5;1;;0;;0
6;ina;;i-i.n-n.a-a.;3;3;1;;0;;0
6;nne;;n-n.n-n.e-e.;3;3;1;;0;;0
6;an;;a-a.n-n.;2;2;1;;0;;0
6;in;;i-i.n-n.;2;2;1;;0;;0
6;nane;;n-n.a-a.n-n.e-e.;4;4;1;;0;;0
6;na;na.;n-n.a-a.;2;2;1;syl_na;1;CV.;0
6;ni;ni.;n-n.i-i.;2;2;1;syl_ni;1;CV.;0
6;eneo;e.ne.o.;e-e.n-n.e-e.o-o.;4;4;3;word_eneo;1;V.CV.V.;0
6;aina;a.i.na.;a-a.i-i.n-n.a-a.;4;4;3;word_aina;1;V.V.CV.;0
6;nini;ni.ni.;n-n.i-i.n-n.i-i.;4;4;2;word_nini;1;CV.CV.;0
6;una;u.na.;u-u.n-n.a-a.;3;3;2;word_una;1;V.CV.;0
6;neno;ne.no.;n-n.e-e.n-n.o-o.;4;4;2;word_neno;1;CV.CV.;0
6;nani;na.ni.;n-n.a-a.n-n.i-i.;4;4;2;word_nani;1;CV.CV.;0
6;nina;ni.na.;n-n.i-i.n-n.a-a.;4;4;2;word_nina;1;CV.CV.;0
6;unaona;u.na.o.na.;u-u.n-n.a-a.o-o.n-n.a-a.;6;6;4;word_unaona;1;V.CV.V.CV.;0
6;uone;u.o.ne.;u-u.o-o.n-n.e-e.;4;4;3;word_uone;1;V.V.CV.;0
6;anaona;a.na.o.na.;a-a.n-n.a-a.o-o.n-n.a-a.;6;6;4;;1;V.CV.V.CV.;0
6;ne;ne.;n-n.e-e.;2;2;1;;1;CV.;0
6;no;no.;n-n.o-o.;2;2;1;;1;CV.;0
6;nu;nu.;n-n.u-u.;2;2;1;;1;CV.;0
6;nene;ne.ne.;n-n.e-e.n-n.e-e.;4;4;2;;1;CV.CV.;0
6;anuani;a.nu.a.ni.;a-a.n-n.u-u.a-a.n-n.i-i.;6;6;4;;1;V.CV.V.CV.;0
6;unene;u.ne.ne.;u-u.n-n.e-e.n-n.e-e.;5;5;3;;1;V.CV.CV.;0
7;anwani;;a-a.n-n.w-w.a-a.n-n.i-i.;6;6;1;;0;;0
7;Winnie;;w-w.i-i.n-n.n-n.i-i.e-e.;6;6;1;;0;;1
7;wana;;w-w.a-a.n-n.a-a.;4;4;1;;0;;0
7;uwiano;;u-u.w-w.i-i.a-a.n-n.o-o.;6;6;1;;0;;0
7;wanane;;w-w.a-a.n-n.a-a.n-n.e-e.;6;6;1;;0;;0
7;wanaona;;w-w.a-a.n-n.a-a.o-o.n-n.a-a.;7;7;1;;0;;0
7;wanae;;w-w.a-a.n-n.a-a.e-e.;5;5;1;;0;;0
7;wa;wa.;w-w.a-a.;2;2;1;;1;CV.;0
7;we;we.;w-w.e-e.;2;2;1;;1;CV.;0
7;wi;wi.;w-w.i-i.;2;2;1;;1;CV.;0
7;wo;wo.;w-w.o-o.;2;2;1;;1;CV.;0
7;wu;wu.;w-w.u-u.;2;2;1;;1;CV.;0
7;wao;wa.o.;w-w.a-a.o-o.;3;3;2;;1;CV.V.;0
7;wewe;we.we.;w-w.e-e.w-w.e-e.;4;4;2;;1;CV.CV.;0
7;iwe;i.we.;i-i.w-w.e-e.;3;3;2;;1;V.CV.;0
7;awe;a.we.;a-a.w-w.e-e.;3;3;2;;1;V.CV.;0
7;wenu;we.nu.;w-w.e-e.n-n.u-u.;4;4;2;;1;CV.CV.;0
7;uwe;u.we.;u-u.w-w.e-e.;3;3;2;;1;V.CV.;0
7;wawe;wa.we.;w-w.a-a.w-w.e-e.;4;4;2;;1;CV.CV.;0
7;wanao;wa.na.o.;w-w.a-a.n-n.a-a.o-o.;5;5;3;;1;CV.CV.V.;0
7;nawe;na.we.;n-n.a-a.w-w.e-e.;4;4;2;;1;CV.CV.;0
7;niwe;ni.we.;n-n.i-i.w-w.e-e.;4;4;2;;1;CV.CV.;0
7;waone;wa.o.ne.;w-w.a-a.o-o.n-n.e-e.;5;5;3;;1;CV.V.CV.;0
8;Amina;;a-a.m-m.i-i.n-n.a-a.;5;5;1;;0;;1
