LESSON;CHAPTER;LOWER CASE TEXT;SOUND PHONEME SYMBOL;SOUND NAME;ILLUSTRATIVE WORD;ILLUSTRATIVE WORD ENGLISH;REGULAR PHONEME;SYLLABIC STRUCTURE;TO TRACE;
47;14;gn;N;gn_nmaj;oignon;;true;;true;gn-N
48;14;e;E;es_et_est_sym006_sym007_sym008_ecmajcmaj_et_ai_ei_ecmaj_emaj;escargot;;true;;true;e-E
49;15;ai;E;es_et_est_sym006_sym007_sym008_ecmajcmaj_et_ai_ei_ecmaj_emaj;lait;;true;;true;ai-E
49;15;aî;E;es_et_est_sym006_sym007_sym008_ecmajcmaj_et_ai_ei_ecmaj_emaj;-;;true;;false;aî-E
49;15;ei;E;es_et_est_sym006_sym007_sym008_ecmajcmaj_et_ai_ei_ecmaj_emaj;treize;;true;;true;ei-E
50;15;ez;e;sym002_ez_er_e;nez;;true;;true;ez-e
50;15;er;e;sym002_ez_er_e;cahier;;true;;true;er-e
51;16;h;#;;-;;true;;false;h-#
52;16;ph;f;f_ph_f;phare;;true;;true;ph-f
53;16;ç;s;s_sym009_ce_ci_cy;glaçon;;true;;true;ç-s
53;16;cc;ks;x_ks;-;;true;;false;cc-ks
53;16;c;s;s_sym009_ce_ci_cy;citron;;true;;true;c-s
53;16;sc;s;s_sym009_ce_ci_cy;-;;true;C;false;sc-s
54;17;g;Z;j_ge_gi_gy_Z;girafe;;true;;true;g-Z
55;17;x;ks;x_ks;xylophone;;true;;true;x-ks
55;17;x;gs;x_ks;-;;true;;false;x-gs
55;17;x;gz;x_ks;-;;true;;false;x-gz
56;17;ain;5;in_im_ym_ain_aim_5;pain;;true;;true;ain-5
56;17;aim;5;in_im_ym_ain_aim_6;daim;;true;;true;aim-5
57;18;ien;j5;ien_j5;chien;;true;;true;ien-j5
58;18;ti;si;ti_si;potion;;true;;true;ti-si
59;18;y;Y;y_ymaj;yoyo;;true;;true;y-Y
60;19;oy;waj;oy_waj;noyer;;true;;true;oy-waj
61;19;ay;Ey;ay__emajy;crayon;;true;;true;ay-Ey
62;19;ill;ij;ill_ij;chenille;;true;;true;ill-ij
63;20;ill;j;eil_emajj;bouteille;;true;;true;ill-j
63;20;il;j;ail_aj;ail;;true;;true;il-j
64;20;ch;k;c_q_qu_k_ch;chronomètre;;true;;true;ch-k
65;20;w;w;w_w;wapiti;;true;;true;w-w
