LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
13;sourire;;s-s.ou-u.r-R.i-i.r-R.e-#;;;;Word_sourire;;;0
13;larme;;l-l.a-a.r-R.m-m.e-#;;;;-;;;0
13;sourit;;s-s.ou-u.r-R.i-i.s-#;;;;-;;;0
13;Sioux;;s-s.i-i.ou-u.x-#;;;;-;;;1
13;lit;;l-l.i-i.t-#;;;;-;;;0
13;Emilie;;é-e.m-m.i-i.l-l.i-i.e-#;;;;-;;;1
11;Rio;;r-R.i-i.o-o;;;;-;;;1
13;ramasse;;r-R.a-a.m-m.a-a.ss-s.e-#;;;;-;;;0
14;je;;j-Z.e-*;;;;Word_je;;;0
14;jus;;j-Z.u-y.s-#;;;;Word_jus;;;0
14;joue;;j-Z.ou-u.e-#;;;;Word_joue;;;0
14;jour;;j-Z.ou-u.r-R;;;;Word_jour;;;0
14;joli;;j-Z.o-o.l-l.i-i;;;;Word_joli;;;0
14;jaloux;;j-Z.a-a.l-l.ou-u.x-#;;;;Word_jaloux;;;0
14;séjour;;s-s.é-e.j-Z.ou-u.r-R;;;;Word_ssym002jour;;;0
14;joujou;;j-Z.ou-u.j-Z.ou-u.x-#;;;;Word_joujou;;;0
14;réjouir;;r-R.é-e.j-Z.ou-u.i-i.r-R;;;;Word_rsym002jouir;;;0
13;Marie;;m-m.a-a.r-R.i-i.e-#;;;;-;;;1
14;Jérémie;;j-Z.é-e.r-R.é-e.m-m.i-i.e-#;;;;-;;;1
14;réjouit;;r-R.é-e.j-Z.ou-u.i-i.t-#;;;;-;;;0
15;mufle;;m-m.u-y.f-f.l-l.e-#;;;;Word_mufle;;;0
15;fallu;;f-f.a-a.ll-l.u-y;;;;Word_fallu;;;0
15;forme;;f-f.o-o.r-R.m-m.e-#;;;;Word_forme;;;0
15;formé;;f-f.o-o.r-R.m-m.é-e;;;;Word_formsym002;;;0
15;méfie;;m-m.é-e.f-f.i-i.e-#;;;;Word_msym002fie;;;0
15;affamé;;a-a.ff-f.a-a.m-m.é-e;;;;Word_affamsym002;;;0
15;affolé;;a-a.ff-f.o-o.l-l.é-e;;;;Word_affolsym002;;;0
15;affole;;a-a.ff-f.o-o.l-l.e-#;;;;-;;;0
15;flamme;;f-f.l-l.a-a.mm-m.e-#;;;;Word_flamme;;;0
15;fourré;;f-f.ou-u.rr-R.é-e;;;;Word_fourrsym002;;;0
15;fourmi;;f-f.ou-u.r-R.m-m.i-i;;;;Word_fourmi;;;0
15;massif;;m-m.a-a.ss-s.i-i.f-f;;;;Word_massif;;;0
15;offrir;;o-o.ff-f.r-R.i-i.r-R;;;;Word_offrir;;;0
15;siffle;;s-s.i-i.ff-f.l-l.e-#;;;;Word_siffle;;;0
15;formule;;f-f.o-o.r-R.m-m.u-y.l-l.e-#;;;;Word_formule;;;0
15;souffle;;s-s.ou-u.ff-f.l-l.e-#;;;;Word_souffle;;;0
15;affirme;;a-a.ff-f.i-i.r-R.m-m.e-#;;;;Word_affirme;;;0
15;soufflé;;s-s.ou-u.ff-f.l-l.é-e;;;;Word_soufflsym002;;;0
15;fourrure;;f-f.ou-u.rr-R.u-y.r-R.e-#;;;;Word_fourrure;;;0
15;souffrir;;s-s.ou-u.ff-f.r-R.i-i.r-R;;;;Word_souffrir;;;0
15;Fifi;;f-f.i-i.f-f.i-i;;;;-;;;1
14;jolie;;j-Z.o-o.l-l.i-i.e-#;;;;-;;;0
13;rousse;;r-R.ou-u.ss-s.e-#;;;;-;;;0
15;fruit;;f-f.r-R.u-8.i-i.t-#;;;;-;;;0
14;Jules;;j-Z.u-y.l-l.e-#.s-#;;;;-;;;1
15;siffla;;s-s.i-i.ff-f.l-l.a-a;;;;-;;;0
15;fée;;f-f.é-e.e-#;;;;-;;;0
15;offre;;o-o.ff-f.r-R.e-#;;;;-;;;0
16;lave;;l-l.a-a.v-v.e-#;;;;Word_lave;;;0
16;louve;;l-l.ou-u.v-v.e-#;;;;Word_louve;;;0
16;rive;;r-R.i-i.v-v.e-#;;;;Word_rive;;;0
16;va;;v-v.a-a;;;;Word_vallsym002e;;;0
16;vie;;v-v.i-i.e-#;;;;Word_vie;;;0
16;ville;;v-v.i-i.ll-l.e-#;;;;Word_ville;;;0
16;vos;;v-v.o-o.s-#;;;;Word_vos;;;0
16;vol;;v-v.o-o.l-l;;;;Word_vol;;;0
16;vous;;v-v.ou-u.s-#;;;;Word_vous;;;0
16;vu;;v-v.u-y;;;;Word_vu;;;0
16;avril;;a-a.v-v.r-R.i-i.l-l;;;;Word_avril;;;0
16;levé;;l-l.e-*.v-v.é-e;;;;Word_levsym002;;;0
16;levure;;l-l.e-*.v-v.u-y.r-R.e-#;;;;Word_levure;;;0
16;lavé;;l-l.a-a.v-v.é-e;;;;Word_lavsym002;;;0
16;livre;;l-l.i-i.v-v.r-R.e-#;;;;Word_livre;;;0
16;olive;;o-o.l-l.i-i.v-v.e-#;;;;Word_olive;;;0
16;revu;;r-R.e-*.v-v.u-y;;;;Word_revu;;;0
16;suivre;;s-s.u-8.i-i.v-v.r-R.e-#;;;;Word_suivre;;;0
16;salive;;s-s.a-a.l-l.i-i.v-v.e-#;;;;Word_salive;;;0
16;ouvrir;;ou-u.v-v.r-R.i-i.r-R;;;;Word_ouvrir;;;0
16;vallée;;v-v.a-a.ll-l.é-e.e-#;;;;Word_vallsym002e;;;0
16;vélo;;v-v.é-e.l-l.o-o;;;;Word_vsym002lo;;;0
16;vivre;;v-v.i-i.v-v.r-R.e-#;;;;Word_vivre;;;0
16;villa;;v-v.i-i.l-l.l-l.a-a;;;;Word_villa;;;0
16;volé;;v-v.o-o.l-l.é-e;;;;Word_volsym002;;;0
16;Vivi;;v-v.i-i.v-v.i-i;;;;-;;;1
16;velue;;v-v.e-*.l-l.u-y.e-#;;;;-;;;0
16;survole;;s-s.u-y.r-R.v-v.o-o.l-l.e-#;;;;-;;;0
16;levée;;l-l.e-*.v-v.é-e.e-#;;;;-;;;0
13;roule;;r-R.ou-u.l-l.e-#;;;;-;;;0
17;eux;;eu-2.x-#;;;;Word_eux;;;0
17;affreux;;a-a.ff-f.r-R.eu-2.x-#;;;;Word_affreux;;;0
17;amoureux;;a-a.m-m.ou-u.r-R.eu-2.x-#;;;;Word_amoureux;;;0
17;feu;;f-f.eu-2;;;;Word_feu;;;0
17;fameux;;f-f.a-a.m-m.eu-2.x-#;;;;Word_fameux;;;0
17;faveur;;f-f.a-a.v-v.eu-9.r-R;;;;Word_faveur;;;0
